1,rn1qkb1r/pbpp1p1p/1p2p2p/8/3PP3/P1N5/1PP1BPPP/R2QK1NR b KQkq - 1 6
2,rn1qkb1r/ppp1ppp1/5np1/3p4/3P4/4P3/PPPN1PPP/R1BQKB1R b KQkq - 1 6
3,r1bqk2r/pppp1ppp/2n2n2/4p3/2B1P3/P1N2N2/1PPP1KPP/R1BQ3R b kq - 0 6
4,r1bqkb1r/pp1npppp/2p2N2/8/2B5/5Q2/PPPP1PPP/R1B1K1NR b KQkq - 0 6
5,r1b1kbnr/pp3ppp/1qn1p3/2ppP3/5P2/2PP1N2/PP4PP/RNBQKB1R b KQkq - 0 6
6,rn1qkb1r/pbpp1p1p/1p2p2p/8/2B1P3/3P1Q1N/PPP2PPP/RN2K2R b KQkq - 1 6
7,r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b - - 2 6
8,rn1qk1nr/1pp2ppp/p2p4/2b1p3/2P1P1b1/P2P1N1P/1P3PP1/RNBQKB1R b KQkq - 0 6
9,rnbqk2r/pp2pp1p/3p2pn/2p5/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 6
10,rnbq1rk1/ppp2ppp/3b1n2/8/8/P1N2N2/1PP1PPPP/R1BQKB1R b KQ - 0 6
11,rnbqkb1r/pp2pp1p/2pp2p1/6B1/3Pn3/5N1P/PPP1QPP1/RN2KB1R b KQkq - 1 6
12,rnbqk2r/ppp2ppp/4pb2/3pP3/3P4/2N5/PPP2PPP/R2QKBNR b KQkq - 0 6
13,r1b1k1nr/pppp1ppp/1bn2q2/4p3/1PB1P3/P2P1N2/2P2PPP/RNBQK2R b KQkq - 0 6
14,r1bqkb1r/1pppnpp1/p1n4p/3Np3/B3P3/5N2/PPPP1PPP/R1BQK2R b KQkq - 1 6
15,rn1qkbnr/pp2pppp/8/2p2b2/2B2P2/2NP4/PPP3PP/R1BQK1NR b KQkq - 0 6
16,rnbqkb1r/ppp2ppp/8/3p4/4nN2/1P6/PBP1PPPP/RN1QKB1R b KQkq - 1 6
17,rnbqkb1r/pp2nppp/4p3/3pP3/3P1P2/8/PP4PP/RNBQKBNR b KQkq - 0 6
18,rnbqk1nr/p1pp1ppp/1p1bp3/3P4/1P2P3/2P2N2/P4PPP/RNBQKB1R b KQkq - 2 6
19,rn2kbnr/ppp1pppp/4q3/8/3P2b1/2N1B3/PPP1BPPP/R2QK1NR b KQkq - 2 6
20,rnbqk2r/pppp1ppp/8/4p1B1/2B1P3/8/PPP2KPP/RN1Q2NR b kq - 0 6
21,r1bqk1nr/ppp1bppp/2Np4/8/4PP2/8/PPP3PP/RNBQKB1R b KQkq - 0 6
22,r1bqk1nr/ppp1bppp/2np4/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq - 1 6
23,rnb1kb1r/p1p1pppp/1p2qn2/8/8/2NP1N2/PPP1QPPP/R1B1KB1R b KQkq - 0 6
24,rnbqk2r/ppp1ppbp/5np1/8/2BPP3/2N5/PP2NPPP/R1BQK2R b KQkq - 4 6
25,rn2kbnr/1ppb1ppp/p2p1q2/3Pp3/4P3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 1 6
26,rnbqkbnr/p4ppp/4p3/1p1p4/2pP1P2/2P1P3/PPB3PP/RNBQK1NR b KQkq - 0 6
27,rnbqk2r/p2pppbp/1p3np1/2pP4/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 2 6
28,r1bqkb1r/p2p1ppp/1pn1pn2/2p5/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 b kq - 1 6
29,r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P1P2/2P2N2/PP4PP/RNBQKB1R b KQkq - 2 6
30,rn1qkbnr/p2bpppp/3p4/1p1P4/4P3/1Q6/PP3PPP/RNB1KBNR b KQkq - 2 6
31,r1bqk1nr/pp1pppbp/2n3p1/8/2P5/P4N2/1P2PPPP/RNBQKB1R b KQkq - 2 6
32,r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 b kq - 0 6
33,rnb1kb1r/pppp1ppp/5n2/8/4Q3/5N2/PPP2PPP/RNB1KB1R b KQkq - 0 6
34,rnbqk1nr/pppp2bp/4p3/5p2/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 1 6
35,r1bqkbnr/pp3ppp/2n5/3pp3/B7/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 6
36,r1bqkbnr/pp3ppp/2Np4/4p3/4P3/7P/PPP2PP1/RNBQKB1R b KQkq - 0 6
37,r1bqkbnr/ppp1p1pp/2n2P2/8/8/N1Pp1N2/PP1P1PPP/R1BQKB1R b KQkq - 0 6
38,r1b1kb1r/ppp2ppp/2n2n2/3pp1q1/8/1P2PQPB/PBPP1P1P/RN2K1NR b KQkq - 4 6
39,rn1qk1nr/pbpp1pbp/1p2p1p1/8/2PP4/P1N2N1P/1P2PPP1/R1BQKB1R b KQkq - 2 6
40,rn1qkb1r/ppp1ppp1/5np1/3p4/3P4/3BP3/PPP2PPP/RNBQK2R b KQkq - 1 6
41,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/P2P1PPP/RNBQ1RK1 b kq - 2 6
42,r1bqkbnr/pp3ppp/2n1p3/3p4/3P4/2N2N2/PPP1BPPP/R1BQK2R b KQkq - 1 6
43,rn1qkb1r/ppp2ppp/3p1n2/4p3/4P3/1P4PN/PBPP1P1P/RN1QK2R b KQkq - 0 6
44,rnbqk2r/ppppbppp/4p3/6B1/7P/2P2N2/PPP2PP1/R2QKB1R b KQkq - 0 6
45,r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/4PP2/2NPBN2/PPP3PP/R2QKB1R b KQkq - 1 6
